period,count,method,threshold,score,is_anomaly
2016-01,39,zscore,2.0,2.003541043044945,True
2016-02,13,zscore,2.0,-1.5832177473012503,False
2016-03,16,zscore,2.0,-1.1693609637997662,False
2016-04,24,zscore,2.0,-0.06574287446247533,False
2016-05,27,zscore,2.0,0.34811390903900874,False
2016-06,29,zscore,2.0,0.6240184313733315,False
2016-07,25,zscore,2.0,0.07220938670468602,False
2016-08,26,zscore,2.0,0.21016164787184738,False
2016-09,37,zscore,2.0,1.7276365207106223,False
2016-10,32,zscore,2.0,1.0378752148748156,False
2016-11,31,zscore,2.0,0.8999229537076542,False
2016-12,32,zscore,2.0,1.0378752148748156,False
2017-01,23,zscore,2.0,-0.20369513562963668,False
2017-02,32,zscore,2.0,1.0378752148748156,False
2017-03,31,zscore,2.0,0.8999229537076542,False
2017-04,20,zscore,2.0,-0.6175519191311207,False
2017-05,29,zscore,2.0,0.6240184313733315,False
2017-06,34,zscore,2.0,1.3137797372091382,False
2017-07,19,zscore,2.0,-0.7555041802982821,False
2017-08,27,zscore,2.0,0.34811390903900874,False
2017-09,38,zscore,2.0,1.8655887818777837,False
2017-10,29,zscore,2.0,0.6240184313733315,False
2017-11,29,zscore,2.0,0.6240184313733315,False
2017-12,34,zscore,2.0,1.3137797372091382,False
2018-01,25,zscore,2.0,0.07220938670468602,False
2018-02,19,zscore,2.0,-0.7555041802982821,False
2018-03,10,zscore,2.0,-1.9970745308027342,False
2018-04,20,zscore,2.0,-0.6175519191311207,False
2018-05,20,zscore,2.0,-0.6175519191311207,False
2018-06,21,zscore,2.0,-0.47959965796395937,False
2018-07,26,zscore,2.0,0.21016164787184738,False
2018-08,17,zscore,2.0,-1.0314087026326049,False
2018-09,22,zscore,2.0,-0.34164739679679806,False
2018-10,34,zscore,2.0,1.3137797372091382,False
2018-11,29,zscore,2.0,0.6240184313733315,False
2018-12,24,zscore,2.0,-0.06574287446247533,False
2019-01,32,zscore,2.0,1.0378752148748156,False
2019-02,16,zscore,2.0,-1.1693609637997662,False
2019-03,9,zscore,2.0,-2.1350267919698958,True
2019-04,27,zscore,2.0,0.34811390903900874,False
2019-05,22,zscore,2.0,-0.34164739679679806,False
2019-06,19,zscore,2.0,-0.7555041802982821,False
2019-07,32,zscore,2.0,1.0378752148748156,False
2019-08,29,zscore,2.0,0.6240184313733315,False
2019-09,28,zscore,2.0,0.4860661702061701,False
2019-10,33,zscore,2.0,1.175827476041977,False
2019-11,30,zscore,2.0,0.7619706925404928,False
2019-12,20,zscore,2.0,-0.6175519191311207,False
2020-01,22,zscore,2.0,-0.34164739679679806,False
2020-02,22,zscore,2.0,-0.34164739679679806,False
2020-03,11,zscore,2.0,-1.859122269635573,False
2020-04,20,zscore,2.0,-0.6175519191311207,False
2020-05,21,zscore,2.0,-0.47959965796395937,False
2020-06,31,zscore,2.0,0.8999229537076542,False
2020-07,17,zscore,2.0,-1.0314087026326049,False
2020-08,27,zscore,2.0,0.34811390903900874,False
2020-09,21,zscore,2.0,-0.47959965796395937,False
2020-10,24,zscore,2.0,-0.06574287446247533,False
2020-11,38,zscore,2.0,1.8655887818777837,False
2020-12,24,zscore,2.0,-0.06574287446247533,False
2021-01,26,zscore,2.0,0.21016164787184738,False
2021-02,18,zscore,2.0,-0.8934564414654435,False
2021-03,18,zscore,2.0,-0.8934564414654435,False
2021-04,30,zscore,2.0,0.7619706925404928,False
2021-05,21,zscore,2.0,-0.47959965796395937,False
2021-06,32,zscore,2.0,1.0378752148748156,False
2021-07,32,zscore,2.0,1.0378752148748156,False
2021-08,30,zscore,2.0,0.7619706925404928,False
2021-09,28,zscore,2.0,0.4860661702061701,False
2021-10,24,zscore,2.0,-0.06574287446247533,False
2021-11,33,zscore,2.0,1.175827476041977,False
2021-12,27,zscore,2.0,0.34811390903900874,False
2022-01,27,zscore,2.0,0.34811390903900874,False
2022-02,16,zscore,2.0,-1.1693609637997662,False
2022-03,18,zscore,2.0,-0.8934564414654435,False
2022-04,27,zscore,2.0,0.34811390903900874,False
2022-05,32,zscore,2.0,1.0378752148748156,False
2022-06,25,zscore,2.0,0.07220938670468602,False
2022-07,37,zscore,2.0,1.7276365207106223,False
2022-08,25,zscore,2.0,0.07220938670468602,False
2022-09,29,zscore,2.0,0.6240184313733315,False
2022-10,19,zscore,2.0,-0.7555041802982821,False
2022-11,26,zscore,2.0,0.21016164787184738,False
2022-12,24,zscore,2.0,-0.06574287446247533,False
2023-01,16,zscore,2.0,-1.1693609637997662,False
2023-02,22,zscore,2.0,-0.34164739679679806,False
2023-03,18,zscore,2.0,-0.8934564414654435,False
2023-04,21,zscore,2.0,-0.47959965796395937,False
2023-05,21,zscore,2.0,-0.47959965796395937,False
2023-06,35,zscore,2.0,1.4517319983762995,False
2023-07,19,zscore,2.0,-0.7555041802982821,False
2023-08,26,zscore,2.0,0.21016164787184738,False
2023-09,17,zscore,2.0,-1.0314087026326049,False
2023-10,19,zscore,2.0,-0.7555041802982821,False
2023-11,29,zscore,2.0,0.6240184313733315,False
2023-12,31,zscore,2.0,0.8999229537076542,False
2024-01,25,zscore,2.0,0.07220938670468602,False
2024-02,25,zscore,2.0,0.07220938670468602,False
2024-03,9,zscore,2.0,-2.1350267919698958,True
2024-04,22,zscore,2.0,-0.34164739679679806,False
2024-05,28,zscore,2.0,0.4860661702061701,False
2024-06,35,zscore,2.0,1.4517319983762995,False
2024-07,36,zscore,2.0,1.5896842595434608,False
