date,actual,forecast,lower_ci,upper_ci,model
2016-01,39.0,,,,observed
2016-02,13.0,,,,observed
2016-03,16.0,,,,observed
2016-04,24.0,,,,observed
2016-05,27.0,,,,observed
2016-06,29.0,,,,observed
2016-07,25.0,,,,observed
2016-08,26.0,,,,observed
2016-09,37.0,,,,observed
2016-10,32.0,,,,observed
2016-11,31.0,,,,observed
2016-12,32.0,,,,observed
2017-01,23.0,,,,observed
2017-02,32.0,,,,observed
2017-03,31.0,,,,observed
2017-04,20.0,,,,observed
2017-05,29.0,,,,observed
2017-06,34.0,,,,observed
2017-07,19.0,,,,observed
2017-08,27.0,,,,observed
2017-09,38.0,,,,observed
2017-10,29.0,,,,observed
2017-11,29.0,,,,observed
2017-12,34.0,,,,observed
2018-01,25.0,,,,observed
2018-02,19.0,,,,observed
2018-03,10.0,,,,observed
2018-04,20.0,,,,observed
2018-05,20.0,,,,observed
2018-06,21.0,,,,observed
2018-07,26.0,,,,observed
2018-08,17.0,,,,observed
2018-09,22.0,,,,observed
2018-10,34.0,,,,observed
2018-11,29.0,,,,observed
2018-12,24.0,,,,observed
2019-01,32.0,,,,observed
2019-02,16.0,,,,observed
2019-03,9.0,,,,observed
2019-04,27.0,,,,observed
2019-05,22.0,,,,observed
2019-06,19.0,,,,observed
2019-07,32.0,,,,observed
2019-08,29.0,,,,observed
2019-09,28.0,,,,observed
2019-10,33.0,,,,observed
2019-11,30.0,,,,observed
2019-12,20.0,,,,observed
2020-01,22.0,,,,observed
2020-02,22.0,,,,observed
2020-03,11.0,,,,observed
2020-04,20.0,,,,observed
2020-05,21.0,,,,observed
2020-06,31.0,,,,observed
2020-07,17.0,,,,observed
2020-08,27.0,,,,observed
2020-09,21.0,,,,observed
2020-10,24.0,,,,observed
2020-11,38.0,,,,observed
2020-12,24.0,,,,observed
2021-01,26.0,,,,observed
2021-02,18.0,,,,observed
2021-03,18.0,,,,observed
2021-04,30.0,,,,observed
2021-05,21.0,,,,observed
2021-06,32.0,,,,observed
2021-07,32.0,,,,observed
2021-08,30.0,,,,observed
2021-09,28.0,,,,observed
2021-10,24.0,,,,observed
2021-11,33.0,,,,observed
2021-12,27.0,,,,observed
2022-01,27.0,,,,observed
2022-02,16.0,,,,observed
2022-03,18.0,,,,observed
2022-04,27.0,,,,observed
2022-05,32.0,,,,observed
2022-06,25.0,,,,observed
2022-07,37.0,,,,observed
2022-08,25.0,,,,observed
2022-09,29.0,,,,observed
2022-10,19.0,,,,observed
2022-11,26.0,,,,observed
2022-12,24.0,,,,observed
2023-01,16.0,,,,observed
2023-02,22.0,,,,observed
2023-03,18.0,,,,observed
2023-04,21.0,,,,observed
2023-05,21.0,,,,observed
2023-06,35.0,,,,observed
2023-07,19.0,,,,observed
2023-08,26.0,,,,observed
2023-09,17.0,,,,observed
2023-10,19.0,,,,observed
2023-11,29.0,,,,observed
2023-12,31.0,,,,observed
2024-01,25.0,,,,observed
2024-02,25.0,,,,observed
2024-03,9.0,,,,observed
2024-04,22.0,,,,observed
2024-05,28.0,,,,observed
2024-06,35.0,,,,observed
2024-07,36.0,,,,observed
2024-08,16.0,,,,observed
2024-09,24.0,,,,observed
2024-10,35.0,,,,observed
2024-11,32.0,,,,observed
2024-12,21.0,,,,observed
2025-01,28.0,,,,observed
2025-02,25.0,,,,observed
2025-03,14.0,,,,observed
2025-04,23.0,,,,observed
2025-05,20.0,,,,observed
2025-06,27.0,,,,observed
2025-07,23.0,,,,observed
2025-08,32.0,,,,observed
2025-09,40.0,,,,observed
2025-10,28.0,,,,observed
2025-11,27.0,,,,observed
2025-12,15.0,,,,observed
2026-01,16.0,,,,observed
2026-02,15.0,,,,observed
2026-03,12.0,,,,observed
2026-04,17.0,,,,observed
2026-05,23.0,,,,observed
2026-06,14.0,,,,observed
2026-07,8.0,,,,observed
2026-08,2.0,,,,observed
2026-09,,15.668352267484472,2.0044709206988323,29.332233614270113,arima
2026-10,,19.741410083797057,5.317904965749415,34.1649152018447,arima
2026-11,,20.95514818846168,6.403912744754921,35.50638363216844,arima
2026-12,,21.316832272791366,6.72251137213817,35.91115317344456,arima
2027-01,,21.424611188485496,6.80370786998542,36.04551450698557,arima
2027-02,,21.456728428838307,6.813409053879402,36.10004780379721,arima
