period,search_keyword,count
2016-01,계약,26
2016-01,손해배상,12
2016-01,위약금,1
2016-02,계약,3
2016-02,손해배상,9
2016-02,위약금,1
2016-03,계약,8
2016-03,손해배상,7
2016-03,위약금,1
2016-04,계약,9
2016-04,손해배상,15
2016-05,계약,13
2016-05,손해배상,14
2016-06,계약,11
2016-06,손해배상,18
2016-07,계약,13
2016-07,손해배상,12
2016-08,계약,10
2016-08,손해배상,16
2016-09,계약,16
2016-09,손해배상,20
2016-09,위약금,1
2016-10,계약,14
2016-10,손해배상,18
2016-11,계약,15
2016-11,손해배상,16
2016-12,계약,11
2016-12,손해배상,21
2017-01,계약,12
2017-01,손해배상,11
2017-02,계약,15
2017-02,손해배상,17
2017-03,계약,13
2017-03,손해배상,18
2017-04,계약,10
2017-04,손해배상,10
2017-05,계약,15
2017-05,손해배상,14
2017-06,계약,13
2017-06,손해배상,19
2017-06,위약금,2
2017-07,계약,5
2017-07,손해배상,14
2017-08,계약,15
2017-08,손해배상,12
2017-09,계약,21
2017-09,손해배상,16
2017-09,위약금,1
2017-10,계약,12
2017-10,손해배상,17
2017-11,계약,12
2017-11,손해배상,17
2017-12,계약,16
2017-12,손해배상,17
2017-12,위약금,1
2018-01,계약,13
2018-01,손해배상,11
2018-01,위약금,1
2018-02,계약,10
2018-02,손해배상,9
2018-03,계약,5
2018-03,손해배상,5
2018-04,계약,10
2018-04,손해배상,10
2018-05,계약,7
2018-05,손해배상,13
2018-06,계약,12
2018-06,손해배상,9
2018-07,계약,11
2018-07,손해배상,15
2018-08,계약,3
2018-08,손해배상,14
2018-09,계약,13
2018-09,손해배상,9
2018-10,계약,4
2018-10,손해배상,29
2018-10,위약금,1
2018-11,계약,12
2018-11,손해배상,17
2018-12,계약,10
2018-12,손해배상,14
2019-01,계약,5
2019-01,손해배상,27
2019-02,계약,5
2019-02,손해배상,11
2019-03,계약,6
2019-03,손해배상,3
2019-04,계약,13
2019-04,손해배상,14
2019-05,계약,9
2019-05,손해배상,12
2019-05,채무불이행,1
2019-06,계약,8
2019-06,손해배상,11
2019-07,계약,8
2019-07,손해배상,24
2019-08,계약,12
2019-08,손해배상,16
2019-08,위약금,1
2019-09,계약,12
2019-09,손해배상,15
2019-09,채무불이행,1
2019-10,계약,19
2019-10,손해배상,14
2019-11,계약,11
2019-11,손해배상,19
2019-12,계약,9
2019-12,손해배상,11
2020-01,계약,8
2020-01,손해배상,12
2020-01,위약금,2
2020-02,계약,9
2020-02,손해배상,12
2020-02,위약금,1
2020-03,계약,6
2020-03,손해배상,5
2020-04,계약,7
2020-04,손해배상,12
2020-04,위약금,1
2020-05,계약,9
2020-05,손해배상,12
2020-06,계약,15
2020-06,손해배상,16
2020-07,계약,10
2020-07,손해배상,7
2020-08,계약,17
2020-08,손해배상,9
2020-08,위약금,1
2020-09,계약,13
2020-09,손해배상,8
2020-10,계약,9
2020-10,손해배상,15
2020-11,계약,20
2020-11,손해배상,18
2020-12,계약,9
2020-12,손해배상,15
2021-01,계약,10
2021-01,손해배상,14
2021-01,위약금,2
2021-02,계약,8
2021-02,손해배상,9
2021-02,위약금,1
2021-03,계약,9
2021-03,손해배상,9
2021-04,계약,17
2021-04,손해배상,13
2021-05,계약,7
2021-05,손해배상,14
2021-06,계약,12
2021-06,손해배상,18
2021-06,위약금,2
2021-07,계약,10
2021-07,손해배상,19
2021-07,위약금,2
2021-07,채무불이행,1
2021-08,계약,18
2021-08,손해배상,12
2021-09,계약,14
2021-09,손해배상,14
2021-10,계약,11
2021-10,손해배상,12
2021-10,채무불이행,1
2021-11,계약,12
2021-11,손해배상,20
2021-11,위약금,1
2021-12,계약,13
2021-12,손해배상,14
2022-01,계약,14
2022-01,손해배상,13
2022-02,계약,7
2022-02,손해배상,9
2022-03,계약,6
2022-03,손해배상,11
2022-03,위약금,1
2022-04,계약,9
2022-04,손해배상,17
2022-04,위약금,1
2022-05,계약,13
2022-05,손해배상,18
2022-05,채무불이행,1
2022-06,계약,11
2022-06,손해배상,12
2022-06,위약금,2
2022-07,계약,8
2022-07,손해배상,29
2022-08,계약,11
2022-08,손해배상,13
2022-08,위약금,1
2022-09,계약,8
2022-09,손해배상,20
2022-09,위약금,1
2022-10,계약,14
2022-10,손해배상,5
2022-11,계약,12
2022-11,손해배상,13
2022-11,위약금,1
2022-12,계약,9
2022-12,손해배상,15
2023-01,계약,12
2023-01,손해배상,4
2023-02,계약,8
2023-02,손해배상,14
2023-03,계약,7
2023-03,손해배상,11
2023-04,계약,10
2023-04,손해배상,11
2023-05,계약,10
2023-05,손해배상,11
2023-06,계약,14
2023-06,손해배상,21
2023-07,계약,11
2023-07,손해배상,7
2023-07,채무불이행,1
2023-08,계약,12
2023-08,손해배상,12
2023-08,위약금,2
2023-09,계약,8
2023-09,손해배상,9
2023-10,계약,10
2023-10,손해배상,9
2023-11,계약,13
2023-11,손해배상,16
2023-12,계약,14
2023-12,손해배상,17
2024-01,계약,14
2024-01,손해배상,11
2024-02,계약,9
2024-02,손해배상,16
2024-03,계약,4
2024-03,손해배상,5
2024-04,계약,8
2024-04,손해배상,14
2024-05,계약,18
2024-05,손해배상,10
2024-06,계약,23
2024-06,손해배상,11
2024-06,채무불이행,1
2024-07,계약,19
2024-07,손해배상,17
2024-08,계약,12
2024-08,손해배상,4
2024-09,계약,16
2024-09,손해배상,7
2024-09,위약금,1
2024-10,계약,20
2024-10,손해배상,15
2024-11,계약,24
2024-11,손해배상,7
2024-11,위약금,1
2024-12,계약,10
2024-12,손해배상,11
2025-01,계약,18
2025-01,손해배상,10
2025-02,계약,16
2025-02,손해배상,8
2025-02,위약금,1
2025-03,계약,9
2025-03,손해배상,5
2025-04,계약,19
2025-04,손해배상,4
2025-05,계약,10
2025-05,손해배상,10
2025-06,계약,20
2025-06,손해배상,7
2025-07,계약,15
2025-07,손해배상,6
2025-07,위약금,1
2025-07,채무불이행,1
2025-08,계약,19
2025-08,손해배상,13
2025-09,계약,24
2025-09,손해배상,16
2025-10,계약,13
2025-10,손해배상,14
2025-10,채무불이행,1
2025-11,계약,21
2025-11,손해배상,6
2025-12,계약,6
2025-12,손해배상,9
2026-01,계약,9
2026-01,손해배상,5
2026-01,채무불이행,2
2026-02,계약,7
2026-02,손해배상,7
2026-02,위약금,1
2026-03,계약,7
2026-03,손해배상,5
2026-04,계약,12
2026-04,손해배상,5
2026-05,계약,18
2026-05,손해배상,4
2026-05,위약금,1
2026-06,계약,9
2026-06,손해배상,5
2026-07,계약,7
2026-07,손해배상,1
2026-08,계약,1
2026-08,손해배상,1
