period,count
2016-01,39
2016-02,13
2016-03,16
2016-04,24
2016-05,27
2016-06,29
2016-07,25
2016-08,26
2016-09,37
2016-10,32
2016-11,31
2016-12,32
2017-01,23
2017-02,32
2017-03,31
2017-04,20
2017-05,29
2017-06,34
2017-07,19
2017-08,27
2017-09,38
2017-10,29
2017-11,29
2017-12,34
2018-01,25
2018-02,19
2018-03,10
2018-04,20
2018-05,20
2018-06,21
2018-07,26
2018-08,17
2018-09,22
2018-10,34
2018-11,29
2018-12,24
2019-01,32
2019-02,16
2019-03,9
2019-04,27
2019-05,22
2019-06,19
2019-07,32
2019-08,29
2019-09,28
2019-10,33
2019-11,30
2019-12,20
2020-01,22
2020-02,22
2020-03,11
2020-04,20
2020-05,21
2020-06,31
2020-07,17
2020-08,27
2020-09,21
2020-10,24
2020-11,38
2020-12,24
2021-01,26
2021-02,18
2021-03,18
2021-04,30
2021-05,21
2021-06,32
2021-07,32
2021-08,30
2021-09,28
2021-10,24
2021-11,33
2021-12,27
2022-01,27
2022-02,16
2022-03,18
2022-04,27
2022-05,32
2022-06,25
2022-07,37
2022-08,25
2022-09,29
2022-10,19
2022-11,26
2022-12,24
2023-01,16
2023-02,22
2023-03,18
2023-04,21
2023-05,21
2023-06,35
2023-07,19
2023-08,26
2023-09,17
2023-10,19
2023-11,29
2023-12,31
2024-01,25
2024-02,25
2024-03,9
2024-04,22
2024-05,28
2024-06,35
2024-07,36
2024-08,16
2024-09,24
2024-10,35
2024-11,32
2024-12,21
2025-01,28
2025-02,25
2025-03,14
2025-04,23
2025-05,20
2025-06,27
2025-07,23
2025-08,32
2025-09,40
2025-10,28
2025-11,27
2025-12,15
2026-01,16
2026-02,15
2026-03,12
2026-04,17
2026-05,23
2026-06,14
2026-07,8
2026-08,2
