precedent_id,case_name,case_number,decision_date,decision_year,decision_month,decision_quarter,court_name,court_type,case_type,judgment_type,search_keyword,source,source_url,collected_at,points_at_issue,judgment_summary,precedent_content
623741,채권양도계약은 사해행위에 해당함,영덕지원-2025-가합-10060,2026-08-13,2026,8,3,,지방/기타,민사,,계약,law.go.kr,/DRF/lawService.do?OC=virtual.esq&target=prec&ID=623741&type=HTML&mobileYn=,2026-09-19 21:38:17.269658,,,
622733,이행완료 전 매매계약해지 및 부당이득반환 소송은 소유권에관한 소송으로 볼 수 없음,대전지방법원-2025-구합-200674,2026-07-22,2026,7,3,,지방/기타,일반행정,,계약,law.go.kr,/DRF/lawService.do?OC=virtual.esq&target=prec&ID=622733&type=HTML&mobileYn=,2026-09-19 21:38:17.269658,,,
622819,이 사건 증여계약은 사해행위로서 취소되어야 함,인천지방법원-2023-가단-299115,2026-07-22,2026,7,3,,지방/기타,민사,,계약,law.go.kr,/DRF/lawService.do?OC=virtual.esq&target=prec&ID=622819&type=HTML&mobileYn=,2026-09-19 21:38:17.269658,,,
622761,특수관계법인과의 외형상 도급계약에 따라 실물거래 없이 수취한 세금계산서에 대한 세금계산서 불성실 가산세 부과처분,광주지방법원-2025-구합-30769,2026-07-16,2026,7,3,,지방/기타,일반행정,,계약,law.go.kr,/DRF/lawService.do?OC=virtual.esq&target=prec&ID=622761&type=HTML&mobileYn=,2026-09-19 21:38:17.269658,,,
622075,"(심리불속행) 쟁점신탁재산은 신탁계약상 금액으로 평가함이 타당하고, 계약상 토지비에서 상계하도록 한 영업보증금 반환채무를 차감하지 않은 처분은 위법함",대법원-2026-두-30711,2026-07-16,2026,7,3,,지방/기타,일반행정,,계약,law.go.kr,/DRF/lawService.do?OC=virtual.esq&target=prec&ID=622075&type=HTML&mobileYn=,2026-09-19 21:38:17.269658,,,
622741,특허권 양도계약이 부당행위계산 부인의 대상인지 여부,수원지방법원-2024-구합-75889,2026-07-15,2026,7,3,,지방/기타,일반행정,,계약,law.go.kr,/DRF/lawService.do?OC=virtual.esq&target=prec&ID=622741&type=HTML&mobileYn=,2026-09-19 21:38:17.269658,,,
623307,이 사건 증여계약은 사해행위에 해당함,수원지방법원-2025-나-60663,2026-07-10,2026,7,3,,지방/기타,일반행정,,계약,law.go.kr,/DRF/lawService.do?OC=virtual.esq&target=prec&ID=623307&type=HTML&mobileYn=,2026-09-19 21:38:17.269658,,,
622513,교환계약에 따라 원고의 부동산을 등기이전하고 계약상대자의 부동산은 등기경료하지 않았더라도 원고의 양도소득이 부존재한다고 볼 수 없음,서울고등법원-2026-누-3150,2026-07-08,2026,7,3,,지방/기타,일반행정,,계약,law.go.kr,/DRF/lawService.do?OC=virtual.esq&target=prec&ID=622513&type=HTML&mobileYn=,2026-09-19 21:38:17.269658,,,
621939,평가기준일 전 6개월 내 매매계약이 체결된 동일 아파트 단지의 특정 호실의 매매가액을 증여재산 아파트 가액으로 평가하여 증여세를 부과한 처분은 적법함,수원지방법원-2025-구합-61778,2026-06-25,2026,6,2,,지방/기타,일반행정,,계약,law.go.kr,/DRF/lawService.do?OC=virtual.esq&target=prec&ID=621939&type=HTML&mobileYn=,2026-09-19 21:38:17.269658,,,
622919,계약금반환등·손해배상(기),2026다201948,2026-06-25,2026,6,2,대법원,대법원,민사,판결,계약,law.go.kr,/DRF/lawService.do?OC=virtual.esq&target=prec&ID=622919&type=HTML&mobileYn=,2026-09-19 21:38:17.269658,,,
